150,60,100,40,60,1
70,40,30,150,120,4
60,140,160,140,140,2
60,50,70,30,110,5
120,100,160,70,50,2
40,100,150,110,90,2
100,100,130,70,120,2
50,50,80,160,70,4
140,160,170,50,100,2
40,150,70,140,170,5
70,170,90,150,60,3
150,40,60,120,140,1
110,150,50,100,40,3
80,150,130,50,100,3
130,150,90,100,70,3
160,80,70,140,60,1
90,50,120,90,100,2
120,150,40,110,120,3
90,140,130,100,60,3
40,150,40,70,80,3
140,90,150,100,100,2
40,90,80,50,40,3
160,40,110,130,130,1
150,90,130,100,170,5
110,80,130,100,100,2
50,50,160,150,100,2
90,170,70,40,70,3
120,60,100,100,110,1
140,90,150,130,40,2
80,130,80,40,150,5
60,50,110,70,70,2
160,140,80,170,120,4
50,110,90,60,50,3
140,60,120,60,40,1
120,50,170,160,50,2
50,90,130,110,40,2
40,60,40,140,30,4
130,50,110,110,80,1
90,120,50,40,60,3
40,90,50,80,120,5
110,160,30,60,50,3
80,150,50,120,80,3
60,70,100,40,40,2
160,60,140,170,160,4
120,120,160,40,60,2
140,90,110,50,160,5
120,50,150,160,100,4
130,130,70,140,160,5
140,40,150,100,90,2
